Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1994-01-17,27.389892578125,27.426003181392137,27.33572667322429,27.389892578125,17700,17,0,3,1,1994
1994-01-18,27.42600440979004,27.462115014674556,27.371838502463266,27.42600440979004,166400,18,1,3,1,1994
1994-01-19,27.38987988890594,27.425990475443722,27.299603422561493,27.353769302368164,200800,19,2,3,1,1994
1994-01-20,27.389893804905523,27.444059712232296,27.371838502463266,27.42600440979004,281100,20,3,3,1,1994
1994-01-21,27.462104557057486,27.462104557057486,27.353772783656865,27.371828079223633,85600,21,4,3,1,1994
1994-01-24,27.353770963403566,27.480158023960545,27.26349449157715,27.26349449157715,373800,24,0,4,1,1994
1994-01-25,27.28154978594243,27.299605080307717,27.2093286084813,27.26349449157715,310400,25,1,4,1,1994
1994-01-26,27.263498873187814,27.35377535952287,27.22738827865379,27.33572006225586,145100,26,2,4,1,1994
1994-01-27,27.38987750907219,27.624596301173664,27.353766925671962,27.588485717773438,344500,27,3,4,1,1994
1994-01-28,27.696818057924276,27.750983934178365,27.660707473754883,27.660707473754883,356500,28,4,4,1,1994
1994-01-31,27.769028004159882,27.913470282465006,27.7329174345836,27.859304428100586,313800,31,0,5,1,1994
1994-02-01,27.82320985328103,27.82320985328103,27.678767491940178,27.71487808227539,303600,1,1,5,2,1994
1994-02-02,27.80516644820426,27.895442962646484,27.78711114531582,27.895442962646484,307600,2,2,5,2,1994
1994-02-03,27.841262234512946,27.841262234512946,27.678764595011895,27.769041061401367,466100,3,3,5,2,1994
